4,1397689.48,262,1397689.48,0.0,1084,0.0,0.0,1
4,290211.26,1312,290211.26,0.0,1335,0.0,0.0,1
4,178344.25,328,178344.25,0.0,1213,0.0,0.0,1
1,1023189.9,65,1023189.9,0.0,1159,66259.25,1089449.14,1
4,592615.53,1396,592615.53,0.0,383,0.0,0.0,1
3,2632.63,921,0.0,0.0,1801,0.0,0.0,0
0,60402.09,152,3130888.26,3191290.35,52,1951371.89,1890969.8,0
1,152097.84,1067,0.0,0.0,831,340360.5,492458.34,0
0,251107.86,1281,398483.0,649590.86,1664,542145.05,291037.19,0
1,75734.99,101,75734.99,0.0,892,3474246.35,3549981.33,0
4,493.28,790,493.28,0.0,500,0.0,0.0,1
3,34185.61,575,7253.0,0.0,1902,0.0,0.0,0
1,451399.66,574,451399.66,0.0,1300,215513.02,666912.68,1
1,371020.35,660,121994.0,0.0,1624,191338.8,562359.15,0
1,207261.07,938,207261.07,0.0,787,48221.7,255482.77,0
4,1467987.57,1125,1467987.57,0.0,300,0.0,0.0,1
4,1212259.76,1397,0.0,0.0,679,1599697.89,2811957.65,0
4,19421.77,1518,19421.77,0.0,788,0.0,0.0,1
1,844213.81,942,844213.81,0.0,1297,0.0,844213.81,1
1,238188.01,1261,68284.0,0.0,1660,133983.8,372171.81,0
1,236914.77,461,236914.77,0.0,1186,175716.84,412631.61,1
4,10000000.0,1426,31343002.08,21343002.08,1304,0.0,0.0,1
4,342988.79,590,342988.79,0.0,1262,0.0,0.0,1
3,10124.39,1729,0.0,0.0,1747,0.0,0.0,0
1,93561.29,405,909.0,0.0,1298,0.0,93561.29,0
1,50523.78,772,50523.78,0.0,149,0.0,50523.78,0
4,1889351.63,649,1889351.63,0.0,47,0.0,0.0,1
3,36505.02,167,0.0,0.0,1768,0.0,0.0,0
4,22117.99,1881,22117.99,0.0,846,0.0,0.0,1
4,677503.25,506,677503.25,0.0,591,0.0,0.0,1
1,2562459.56,505,2562459.56,0.0,870,0.0,2562459.56,1
4,1313799.57,1825,5526.0,0.0,267,0.0,746498.72,0
4,98533.36,639,98533.36,0.0,681,0.0,0.0,1
0,43380.45,1359,4716479.54,4759859.99,256,124947.11,81566.66,0
4,14360.12,1432,14360.12,0.0,841,0.0,0.0,1
1,254719.63,708,254719.63,0.0,818,0.0,254719.63,0
4,51373.02,1707,0.0,0.0,1000,360144.17,411517.18,0
1,181681.83,317,0.0,0.0,1303,4890275.59,5071957.42,0
0,390481.52,1321,22223.0,412704.52,529,1447057.14,1056575.62,0
4,6695070.79,986,6695070.79,0.0,1569,0.0,0.0,1
1,121543.83,265,121543.83,0.0,506,64845.34,186389.17,0
3,4447.08,532,10890.0,6442.92,1909,0.0,0.0,0
4,183306.21,919,183306.21,0.0,81,0.0,0.0,1
1,187436.21,148,0.0,0.0,94,3602937.84,3790374.05,0
1,58499.0,1160,0.0,0.0,336,1304957.82,1363456.82,0
4,6392.08,1942,6392.08,0.0,31,0.0,0.0,1
0,67246.82,1299,31140.0,98386.82,1056,168508.43,101261.61,0
1,67700.8,1027,21464.0,0.0,739,0.0,67700.8,0
1,65761.13,1863,65761.13,0.0,263,197135.39,262896.52,1
3,1727.37,1610,153384.0,151656.63,1802,0.0,0.0,0
1,297465.74,1235,297465.74,0.0,935,4700.53,302166.26,0
4,1072345.79,161,1072345.79,0.0,175,0.0,0.0,1
1,326052.83,396,326052.83,0.0,1250,0.0,326052.83,1
3,885.6,1094,0.0,0.0,1695,0.0,0.0,0
3,1511.22,856,0.0,0.0,1878,0.0,0.0,0
3,40212.29,631,19205.0,0.0,1898,0.0,0.0,0
3,10346.56,306,0.0,0.0,1708,0.0,0.0,0
4,1641792.79,367,1641792.79,0.0,1354,0.0,0.0,1
3,17215.3,1496,407.0,0.0,1900,0.0,0.0,0
1,218074.57,1914,218074.57,0.0,1339,162623.65,380698.21,1
